,Commitername,commiterDate,Massege
111,Rebecca Ysteboe,Added cert_file to configuration,Added cert_file to configuration
112,Rebecca Ysteboe,changed cert_file to ca_Certs,changed cert_file to ca_Certs
113,Rebecca Ysteboe,change ca_certs to ssl_ca_cert,change ca_certs to ssl_ca_cert
114,Rebecca Ysteboe,fixed CONFIG_NAME_SSL_CA_CERT not being checked,fixed CONFIG_NAME_SSL_CA_CERT not being checked
115,Rebecca Ysteboe,Add omitted spaces in kaggle.json permissions warning,Add omitted spaces in kaggle.json permissions warning
116,Rebecca Ysteboe,"improve creating dataset document

Creating a new dataset normally has two steps. At first, we should initiate a folder to be ready to upload files. It easily got confused for newbies.","improve creating dataset document

Creating a new dataset normally has two steps. At first, we should initiate a folder to be ready to upload files. It easily got confused for newbies."
117,Rebecca Ysteboe,Update API to 1.5.1.1,Update API to 1.5.1.1
118,Rebecca Ysteboe,Update Readme,Update Readme
119,Rebecca Ysteboe,Update Readme,Update Readme
120,Rebecca Ysteboe,Update API to 1.5.2,Update API to 1.5.2
121,Rebecca Ysteboe,Align docstring with actual default value,Align docstring with actual default value
122,Rebecca Ysteboe,"Align further docstrings with actual default values

Affected docstrings:
* `competition_leaderboard_download`
* `dataset_download_file`
* `dataset_download_files`
* `download_file`
* `kernels_pull`","Align further docstrings with actual default values

Affected docstrings:
* `competition_leaderboard_download`
* `dataset_download_file`
* `dataset_download_files`
* `download_file`
* `kernels_pull`"
123,Rebecca Ysteboe,Increase urllib3 version restriction,Increase urllib3 version restriction
124,Rebecca Ysteboe,Update API to 1.5.3,Update API to 1.5.3
125,Rebecca Ysteboe,Consistent whitespace in README,Consistent whitespace in README
126,Rebecca Ysteboe,"Update kaggle_api_extended.py

Solves issue #173: kernels output fails if the kernel is creating output subfolders","Update kaggle_api_extended.py

Solves issue #173: kernels output fails if the kernel is creating output subfolders"
127,Rebecca Ysteboe,Valid types and making kernels init more friendly,Valid types and making kernels init more friendly
128,Rebecca Ysteboe,Update API to 1.5.4,Update API to 1.5.4
129,Paul Rondeau,release v.1.5.5,release v.1.5.5
130,GitHub,"release v.1.5.5 (#207)

release v.1.5.5","release v.1.5.5 (#207)

release v.1.5.5"
131,Rebecca Ysteboe,Update API to 1.5.6,Update API to 1.5.6
132,GitHub,"turn internet on by default (#253)

b/135010857","turn internet on by default (#253)

b/135010857"
133,Jim Plotts,Release v1.5.8,Release v1.5.8
134,Vincent Roseberry,Release v1.5.9,Release v1.5.9
135,GitHub,"Merge pull request #307 from Kaggle/release-1.5.9

Release v1.5.9","Merge pull request #307 from Kaggle/release-1.5.9

Release v1.5.9"
136,Jim Plotts,Release 1.5.10.,Release 1.5.10.
137,GitHub,"Update CHANGELOG.md

updating changelog","Update CHANGELOG.md

updating changelog"
138,GitHub,"Update kaggle_api_extended.py

update version number","Update kaggle_api_extended.py

update version number"
139,GitHub,"Update setup.py

updating version number","Update setup.py

updating version number"
140,GitHub,"Update kaggle_api_extended.py

add code change","Update kaggle_api_extended.py

add code change"
141,GitHub,"Update setup.py

update version number","Update setup.py

update version number"
142,GitHub,"Update CHANGELOG.md

update version number","Update CHANGELOG.md

update version number"
143,GitHub,"Update kaggle_api_extended.py

update version number","Update kaggle_api_extended.py

update version number"
144,GitHub,"Merge pull request #334 from Kaggle/Release-v1.5.11

Update files for release of api version 1.5.12","Merge pull request #334 from Kaggle/Release-v1.5.11

Update files for release of api version 1.5.12"
